ENSG_ID	logFC	Fold.Change	AveExpr	t	P.Value	adj.P.Val	B	external_gene_id	description
ENSG00000103257	-1.2479406960735	-2.37502170166819	11.7314103639052	-15.812893928026	4.38414848587109e-07	0.000225890288472018	7.16923049908042	SLC7A5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5 pseudogene 1 [Source:HGNC Symbol;Acc:29458]
ENSG00000111816	-1.3117733530829	-2.48246495798704	4.04412381708944	-15.6573403761526	4.71643597752189e-07	0.000236616145988098	7.10282231534078	FRK	fyn-related kinase [Source:HGNC Symbol;Acc:3955]
ENSG00000111341	-1.66144747537192	-3.16333747492629	7.5381455686838	-15.3520755098032	5.45451337767444e-07	0.000266627802646117	6.96994945649082	MGP	matrix Gla protein [Source:HGNC Symbol;Acc:7060]
ENSG00000170500	-1.77883729842589	-3.43149510912848	6.49343577239231	-15.1979009390639	5.87622111900749e-07	0.000280060698531897	6.90152725899946	LONRF2	LON peptidase N-terminal domain and ring finger 2 [Source:HGNC Symbol;Acc:24788]
ENSG00000162981	1.28584154562922	2.43824237592052	3.95041521662873	14.9884513252712	6.50930836416892e-07	0.000302666962571991	6.80712434786721	FAM84A	family with sequence similarity 84, member A [Source:HGNC Symbol;Acc:20743]
ENSG00000164949	-1.81704534913493	-3.52358825391904	3.70363217308337	-14.8234421366728	7.06247370898886e-07	0.000320569044733723	6.73155119847114	GEM	GTP binding protein overexpressed in skeletal muscle [Source:HGNC Symbol;Acc:4234]
ENSG00000065809	1.41670847320486	2.66975707166403	7.22498213957648	14.5892512375014	7.94093371208503e-07	0.000352060372760905	6.62243369230838	FAM107B	family with sequence similarity 107, member B [Source:HGNC Symbol;Acc:23726]
ENSG00000100867	-1.18077383191182	-2.26698340775906	9.96088397255147	-14.4858707293033	8.36742349426777e-07	0.000362537639760729	6.57355728605658	DHRS2	dehydrogenase/reductase (SDR family) member 2 [Source:HGNC Symbol;Acc:18349]
ENSG00000004478	-0.9980282435756	-1.99726843225314	10.050298619099	-14.3039475409265	9.18216427695984e-07	0.000388997288391028	6.48647274566244	FKBP4	FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]
ENSG00000064787	2.62721716343386	6.17833099556547	6.76208182123665	14.2320805666388	9.52837390854217e-07	0.000393681045701464	6.45168785065265	BCAS1	breast carcinoma amplified sequence 1 [Source:HGNC Symbol;Acc:974]
ENSG00000112245	-1.05633071902051	-2.07963554503598	10.5156781286705	-14.196395480945	9.70573287241334e-07	0.000393681045701464	6.43433410778523	PTP4A1	protein tyrosine phosphatase type IVA, member 1 [Source:HGNC Symbol;Acc:9634]
ENSG00000136205	2.42109398358967	5.3557699152897	4.21913947283083	14.0850508797806	1.02835073177674e-06	0.000400944603307642	6.37983615408018	TNS3	tensin 3 [Source:HGNC Symbol;Acc:21616]
ENSG00000182704	-1.13829192849293	-2.20120258571936	8.9969941074345	-14.0809645667541	1.03054372440592e-06	0.000400944603307642	6.37782592675593	TSKU	tsukushi small leucine rich proteoglycan homolog (Xenopus laevis) [Source:HGNC Symbol;Acc:28850]
ENSG00000003436	1.53440170609761	2.89668278903314	4.88074670165026	13.988052946248	1.08185739627537e-06	0.000405802754738828	6.33192291005165	TFPI	tissue factor pathway inhibitor (lipoprotein-associated coagulation inhibitor) [Source:HGNC Symbol;Acc:11760]
ENSG00000122711	-2.43928599256906	-5.42373237391606	5.27376333883261	-13.9814659037625	1.08560325701218e-06	0.000405802754738828	6.32865427146462	SPINK4	serine peptidase inhibitor, Kazal type 4 [Source:HGNC Symbol;Acc:16646]
ENSG00000108352	-1.43503783281414	-2.70389257121703	3.59465093676891	-13.7656746663054	1.21679123871447e-06	0.000440915736404973	6.22051273366162	RAPGEFL1	Rap guanine nucleotide exchange factor (GEF)-like 1 [Source:HGNC Symbol;Acc:17428]
ENSG00000135374	1.21071922339337	2.31452993745412	3.89215038879589	13.7518385341708	1.22579385383254e-06	0.000440915736404973	6.21350797072034	ELF5	E74-like factor 5 (ets domain transcription factor) [Source:HGNC Symbol;Acc:3320]
ENSG00000136048	1.21279869806716	2.31786846472963	7.21013650669588	13.681988234563	1.27240428698724e-06	0.000449205839391197	6.17801304102848	DRAM1	DNA-damage regulated autophagy modulator 1 [Source:HGNC Symbol;Acc:25645]
ENSG00000079257	0.970308333777448	1.95925928467424	11.0799477130513	13.6306025505505	1.30796945886063e-06	0.000453365995703981	6.15175947377091	LXN	latexin [Source:HGNC Symbol;Acc:13347]
ENSG00000165272	1.13098883476237	2.19008799209554	6.08566837060093	13.3060802247247	1.56024147762436e-06	0.000531150777311264	5.98313356376827	AQP3	aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:636]
ENSG00000069482	-1.15256577187012	-2.22308910006931	8.12552376539293	-13.261531917863	1.59897298974163e-06	0.00053478633467429	5.95959847373929	GAL	galanin prepropeptide [Source:HGNC Symbol;Acc:4114]
ENSG00000148926	1.2354484186578	2.35454520075555	7.220143081359	12.9905314780745	1.85928590490338e-06	0.000611128042949622	5.81435910718009	ADM	adrenomedullin [Source:HGNC Symbol;Acc:259]
ENSG00000117226	1.19252936709898	2.28553096816327	6.7289381784935	12.90363983288	1.95261521878087e-06	0.000630926381878619	5.76702550659229	GBP3	guanylate binding protein 3 [Source:HGNC Symbol;Acc:4184]
ENSG00000160183	-1.71901182616224	-3.29210836730873	3.93470086903142	-12.8717147922967	1.98822213293247e-06	0.000631724445703745	5.7495396977309	TMPRSS3	transmembrane protease, serine 3 [Source:HGNC Symbol;Acc:11877]
ENSG00000132669	1.61205535263424	3.0568703238209	4.80372447332072	12.7300548774247	2.15529832859197e-06	0.000658337741939907	5.67132861743582	RIN2	Ras and Rab interactor 2 [Source:HGNC Symbol;Acc:18750]
ENSG00000071967	1.50140321333566	2.83117948564684	4.47934130408671	12.7206951150542	2.16688241618309e-06	0.000658337741939907	5.66612502184669	CYBRD1	cytochrome b reductase 1 [Source:HGNC Symbol;Acc:20797]
ENSG00000148737	0.97371656125242	1.9638933167764	5.83554020064213	12.6824691738248	2.21492620028886e-06	0.000658337741939907	5.64482642276485	TCF7L2	transcription factor 7-like 2 (T-cell specific, HMG-box) [Source:HGNC Symbol;Acc:11641]
ENSG00000116649	-0.988639248849404	-1.98431250276008	9.38926216381821	-12.6652263707027	2.23698932453333e-06	0.000658337741939907	5.63519449157187	SRM	spermidine synthase [Source:HGNC Symbol;Acc:11296]
ENSG00000152518	0.965035257735302	1.95211122822503	7.52801606134337	12.6537606708612	2.25179731584566e-06	0.000658337741939907	5.62878117801096	ZFP36L2	zinc finger protein 36, C3H type-like 2 [Source:HGNC Symbol;Acc:1108]
ENSG00000128284	1.35887253219881	2.56484658119415	4.42257464749467	12.63278034855	2.27918018086623e-06	0.000658337741939907	5.617028252618	APOL3	apolipoprotein L, 3 [Source:HGNC Symbol;Acc:14868]
ENSG00000172137	-3.28850268003769	-9.7709760216998	4.63902055014232	-12.5551974522941	2.38374633815982e-06	0.000665503946073486	5.57336826809632	CALB2	calbindin 2 [Source:HGNC Symbol;Acc:1435]
ENSG00000124787	-0.911730107628691	-1.88130023760725	7.81361118413769	-12.529732588864	2.41923728359874e-06	0.000665503946073486	5.5589691999603	RPP40	ribonuclease P/MRP 40kDa subunit [Source:HGNC Symbol;Acc:20992]
ENSG00000174827	-4.59304159627015	-24.134777078989	3.50256350257958	-12.5205595617902	2.43216740964862e-06	0.000665503946073486	5.55377397332291	PDZK1	PDZ domain containing 1 [Source:HGNC Symbol;Acc:8821]
ENSG00000142765	1.24521567674439	2.37053990098148	4.41270833901609	12.5124766284798	2.44362548390391e-06	0.000665503946073486	5.54919245776033	SYTL1	synaptotagmin-like 1 [Source:HGNC Symbol;Acc:15584]
ENSG00000175895	0.893574364528629	1.8577731724886	10.2739349725788	12.3482700444517	2.69008246233348e-06	0.000708352628877302	5.45536696097597	PLEKHF2	pleckstrin homology domain containing, family F (with FYVE domain) member 2 [Source:HGNC Symbol;Acc:20757]
ENSG00000120708	1.21834625818773	2.32679846606718	6.79957586072028	12.3462040123289	2.69335673051364e-06	0.000708352628877302	5.45417726879734	TGFBI	transforming growth factor, beta-induced, 68kDa [Source:HGNC Symbol;Acc:11771]
ENSG00000169242	1.02886945997598	2.04042468547973	8.42297293418563	12.3255318627634	2.72636638843954e-06	0.000708352628877302	5.44226086041147	EFNA1	ephrin-A1 [Source:HGNC Symbol;Acc:3221]
ENSG00000143367	0.895076351296781	1.85970830338079	8.04956324780334	12.2891477691595	2.78557753635167e-06	0.000708352628877302	5.42123121601697	TUFT1	tuftelin 1 [Source:HGNC Symbol;Acc:12422]
ENSG00000168461	-1.11347314133722	-2.16365899683655	8.73413151722176	-12.2884410580727	2.78674187818913e-06	0.000708352628877302	5.42082203355279	RAB31	RAB31, member RAS oncogene family [Source:HGNC Symbol;Acc:9771]
ENSG00000120800	-1.58195004160394	-2.99374230292109	4.46402968246545	-12.2459539800593	2.85775865043159e-06	0.000716846196208261	5.39617229516726	UTP20	UTP20, small subunit (SSU) processome component, homolog (yeast) [Source:HGNC Symbol;Acc:17897]
ENSG00000145220	-1.0051215697269	-2.00711262067018	7.50343701554181	-12.1261897596379	3.06916043277463e-06	0.000746412188002025	5.32615631442494	LYAR	Ly1 antibody reactive homolog (mouse) [Source:HGNC Symbol;Acc:26021]
ENSG00000151012	-1.14433822481895	-2.21044712515423	3.40198498321188	-12.1208902070033	3.07891372676071e-06	0.000746412188002025	5.3230398238788	SLC7A11	solute carrier family 7, (cationic amino acid transporter, y+ system) member 11 [Source:HGNC Symbol;Acc:11059]
ENSG00000147642	-1.16211737554404	-2.23785626335536	4.23601953373298	-12.099633633864	3.1183864875653e-06	0.000746412188002025	5.31052386066515	SYBU	syntabulin (syntaxin-interacting) [Source:HGNC Symbol;Acc:26011]
ENSG00000133316	-0.918791353459078	-1.89053079994448	7.91379909626906	-12.0922464048908	3.13223746538827e-06	0.000746412188002025	5.30616834153117	WDR74	WD repeat domain 74 [Source:HGNC Symbol;Acc:25529]
ENSG00000141376	0.95630029037401	1.94032764897976	10.4629239749342	12.0125598848509	3.28613496114819e-06	0.000773418233325051	5.25899111975533	BCAS3	breast carcinoma amplified sequence 3 [Source:HGNC Symbol;Acc:14347]
ENSG00000123933	0.86021913857778	1.81531402733955	4.76469135825142	11.9727678841882	3.36615818086269e-06	0.000782590726341054	5.23529920965277	MXD4	MAX dimerization protein 4 [Source:HGNC Symbol;Acc:13906]
ENSG00000143416	1.00172326014723	2.00239037315863	7.71165655682534	11.9355222292495	3.44305270457431e-06	0.000790823575421742	5.21304215520937	SELENBP1	selenium binding protein 1 [Source:HGNC Symbol;Acc:10719]
ENSG00000155850	-1.28038757407736	-2.42904223333108	9.49839596837533	-11.8985103795684	3.52142844378765e-06	0.000790971731297577	5.19084661995975	SLC26A2	solute carrier family 26 (sulfate transporter), member 2 [Source:HGNC Symbol;Acc:10994]
ENSG00000180694	-1.03648920896146	-2.05122991723321	8.74665911422157	-11.8916405172162	3.53619583571686e-06	0.000790971731297577	5.18671824271566	TMEM64	transmembrane protein 64 [Source:HGNC Symbol;Acc:25441]
ENSG00000114770	1.59295204817284	3.0166598849496	5.03502827168212	11.8768765611755	3.56816874169071e-06	0.000790971731297577	5.1778368419038	ABCC5	ATP-binding cassette, sub-family C (CFTR/MRP), member 5 [Source:HGNC Symbol;Acc:56]
ENSG00000168209	1.05921726962433	2.08380065440616	9.70746243403342	11.7338571949989	3.89531876238238e-06	0.000831428015543495	5.0911512966936	DDIT4	DNA-damage-inducible transcript 4 [Source:HGNC Symbol;Acc:24944]
ENSG00000128641	1.09813909189137	2.14078378233553	8.46238868185208	11.7180277568757	3.93355769005454e-06	0.000831428015543495	5.08148381550838	MYO1B	myosin IB [Source:HGNC Symbol;Acc:7596]
ENSG00000166575	1.07554179896671	2.10751339243428	8.34938345223573	11.6778301110913	4.03257516142426e-06	0.000831428015543495	5.05686793191995	TMEM135	transmembrane protein 135 [Source:HGNC Symbol;Acc:26167]
ENSG00000116455	-0.904478903510221	-1.87186826036809	6.41346184470973	-11.6619675116963	4.07241826784329e-06	0.000831428015543495	5.0471279649177	WDR77	WD repeat domain 77 [Source:HGNC Symbol;Acc:29652]
ENSG00000069764	1.54130286076195	2.9105723110963	5.90164862888269	11.6597868031066	4.07793024683994e-06	0.000831428015543495	5.04578780348723	PLA2G10	phospholipase A2, group X [Source:HGNC Symbol;Acc:9029]
ENSG00000176014	-0.958816757894173	-1.94371508174401	9.67894522916971	-11.6555633004454	4.08862950064298e-06	0.000831428015543495	5.04319143762949	TUBB6	tubulin, beta 6 [Source:HGNC Symbol;Acc:20776]
ENSG00000117394	-1.05737423168844	-2.08114030591632	7.39884264283689	-11.6484232055461	4.10678917116096e-06	0.000831428015543495	5.03879972140613	SLC2A1	solute carrier family 2 (facilitated glucose transporter), member 1 [Source:HGNC Symbol;Acc:11005]
ENSG00000113532	1.68840850781176	3.22300964964372	3.5522516814781	11.6467968095209	4.11093832456375e-06	0.000831428015543495	5.03779893920313	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4 [Source:HGNC Symbol;Acc:10871]
ENSG00000162377	-1.26302272501934	-2.39998056842201	7.18412588566801	-11.6342196475464	4.14318408920646e-06	0.000831428015543495	5.03005445464195	C1orf163	Hcp beta-lactamase-like protein C1orf163  [Source:UniProtKB/Swiss-Prot;Acc:Q96BR5]
ENSG00000151715	1.12073397463692	2.1745757644264	5.03295349805485	11.5407200804332	4.39202304902221e-06	0.000872182577151661	4.97218639106402	TMEM45B	transmembrane protein 45B [Source:HGNC Symbol;Acc:25194]
ENSG00000103888	1.12077952057536	2.17464441695137	2.30482182376775	11.5111846891957	4.47409025200077e-06	0.000874329097603171	4.95379781750774	KIAA1199	KIAA1199 [Source:HGNC Symbol;Acc:29213]
ENSG00000160179	1.23825046616041	2.35912271606132	5.33965611332719	11.4936197240541	4.52371379116943e-06	0.000874329097603171	4.94283704907228	ABCG1	ATP-binding cassette, sub-family G (WHITE), member 1 [Source:HGNC Symbol;Acc:73]
ENSG00000050405	1.39233401175376	2.62503018400181	6.62628281773206	11.4877547924558	4.54042072297073e-06	0.000874329097603171	4.93917310626412	LIMA1	LIM domain and actin binding 1 [Source:HGNC Symbol;Acc:24636]
ENSG00000051128	-1.06496876716618	-2.09212458679275	5.10764697322587	-11.3815373640563	4.85533425546796e-06	0.000919215061761586	4.87245534458049	HOMER3	homer homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:17514]
ENSG00000168675	1.13359209681555	2.19404345031781	3.66810908986876	11.3767973272312	4.86994970824172e-06	0.000919215061761586	4.86946195301956	C18orf1	Uncharacterized protein C18orf1  [Source:UniProtKB/Swiss-Prot;Acc:O15165]
ENSG00000121966	1.14551545930754	2.21225157897527	3.59682463203377	11.3505454704395	4.95179631080882e-06	0.0009255004398947	4.852858584328	CXCR4	chemokine (C-X-C motif) receptor 4 [Source:HGNC Symbol;Acc:2561]
ENSG00000103479	1.66947514384453	3.18098847272498	5.97880760657666	11.2613886033725	5.24153623648918e-06	0.000966343363752308	4.79615212247592	RBL2	retinoblastoma-like 2 (p130) [Source:HGNC Symbol;Acc:9894]
ENSG00000102683	1.68049709581555	3.20538376894169	7.87628347385317	11.2524264044296	5.2717011031389e-06	0.000966343363752308	4.79042456818379	SGCG	sarcoglycan, gamma (35kDa dystrophin-associated glycoprotein) [Source:HGNC Symbol;Acc:10809]
ENSG00000125968	1.05356670508735	2.07565505114587	11.1501424466474	11.2374885013036	5.32241386842616e-06	0.000966347599882631	4.78086691428739	ID1	inhibitor of DNA binding 1, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5360]
ENSG00000124249	-1.03470270648956	-2.04869143249376	7.58732972717149	-11.2052717671519	5.43366532715953e-06	0.000977239582990275	4.76020624474312	KCNK15	potassium channel, subfamily K, member 15 [Source:HGNC Symbol;Acc:13814]
ENSG00000115318	-1.05484117908734	-2.07748949094183	3.62400073572532	-11.1566182234149	5.60666898433786e-06	0.00099024736484801	4.72888084035335	LOXL3	lysyl oxidase-like 3 [Source:HGNC Symbol;Acc:13869]
ENSG00000062282	-1.24311793555538	-2.36709553783963	4.80122045901143	-11.1484767199843	5.63621959625946e-06	0.00099024736484801	4.72362435798737	DGAT2	diacylglycerol O-acyltransferase 2 [Source:HGNC Symbol;Acc:16940]
ENSG00000048162	-0.862372913461099	-1.81802610267059	9.15252312793987	-11.1302213068297	5.7031187747042e-06	0.00099024736484801	4.7118226541902	NOP16	NOP16 nucleolar protein homolog (yeast) [Source:HGNC Symbol;Acc:26934]
ENSG00000117318	1.04216636437621	2.05931762338486	9.21087404769676	11.1273384733139	5.71376469436011e-06	0.00099024736484801	4.70995703461779	ID3	inhibitor of DNA binding 3, dominant negative helix-loop-helix protein [Source:HGNC Symbol;Acc:5362]
ENSG00000178568	1.70195555069456	3.25341655351071	3.62344515212666	11.0950457831906	5.83455711106539e-06	0.000999259051243578	4.68902274571444	ERBB4	v-erb-a erythroblastic leukemia viral oncogene homolog 4 (avian) [Source:HGNC Symbol;Acc:3432]
ENSG00000119514	0.855997342992725	1.81000959227332	7.43686587824561	11.0814743579961	5.88617663495703e-06	0.000999259051243578	4.68020498687304	GALNT12	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 12 (GalNAc-T12) [Source:HGNC Symbol;Acc:19877]
ENSG00000161031	-1.49450943191676	-2.81768323396047	3.45726011809823	-11.0718718284623	5.92301053244462e-06	0.000999259051243578	4.67395882266098	PGLYRP2	peptidoglycan recognition protein 2 [Source:HGNC Symbol;Acc:30013]
ENSG00000173890	0.89369462988928	1.85792804587978	9.2627476971988	11.0486450511023	6.01318156152694e-06	0.00100203930198403	4.6588260511532	GPR160	G protein-coupled receptor 160 [Source:HGNC Symbol;Acc:23693]
ENSG00000137936	1.22588286850486	2.33898541965232	6.95844573300742	11.0324004815543	6.07716358280426e-06	0.00100203930198403	4.64822175349631	BCAR3	breast cancer anti-estrogen resistance 3 [Source:HGNC Symbol;Acc:973]
ENSG00000113389	-1.0699818541165	-2.0994069612264	4.51399726362184	-11.0197772755217	6.12741098152159e-06	0.00100203930198403	4.63996971514544	NPR3	natriuretic peptide receptor C/guanylate cyclase C (atrionatriuretic peptide receptor C) [Source:HGNC Symbol;Acc:7945]
ENSG00000196208	-1.17801445360896	-2.26265159390414	3.10388932625016	-11.0142056475523	6.14973763806819e-06	0.00100203930198403	4.63632416328444	GREB1	growth regulation by estrogen in breast cancer 1 [Source:HGNC Symbol;Acc:24885]
ENSG00000114166	1.42715118123708	2.68915177203605	6.59326201995331	10.9844172686795	6.27066869003223e-06	0.00100677892096458	4.61679939453591	KAT2B	K(lysine) acetyltransferase 2B [Source:HGNC Symbol;Acc:8638]
ENSG00000113971	1.18983207582251	2.2812618861362	4.33593359792025	10.9810644420285	6.28444668457746e-06	0.00100677892096458	4.61459818938849	NPHP3	nephronophthisis 3 (adolescent) [Source:HGNC Symbol;Acc:7907]
ENSG00000064652	-1.04410340130015	-2.06208442666753	7.32449670021319	-10.9313177272838	6.49292561958976e-06	0.00103150945009883	4.58185250867219	SNX24	sorting nexin 24 [Source:HGNC Symbol;Acc:21533]
ENSG00000041353	1.0541046366633	2.07642913613998	6.20009332902226	10.9144497485643	6.56537272034174e-06	0.00103439888876525	4.57071255132176	RAB27B	RAB27B, member RAS oncogene family [Source:HGNC Symbol;Acc:9767]
